"","speaker","time","transcript"
"246","JB",30M 78S,"Look, the way to open businesses is give them the wherewithal to be able open. We provided money, the-"
"247","moderator",30M 85S,"But I was asking you, sir, about masks."
"248","JB",30M 86S,"Well, masks make a big difference. His own head of the CDC said if we just wore masks between now, if everybody wore a mask and social distanced between now and January, we’d probably save up to 100,000 lives. It matters. It matters."
"249","DT",31M 40S,"And they’ve also said the opposite. They’ve also said-"
"250","JB",31M 42S,"No serious person has said the opposite. No serious person."
"251","moderator",31M 44S,"Okay. I want to ask you-"
"252","DT",31M 47S,"Dr. Fauci. Dr. Fauci said the opposite."
"253","JB",31M 48S,"He did not say the opposite."
"254","moderator",31M 49S,"I want to ask you, we’ve got a little than a minute left in this segment."
"255","DT",31M 52S,"He said very strongly, “Masks are not good.” Then he changed his mind. He said, “Masks are good.”"
"256","moderator",31M 55S,"I want to ask-"
"257","DT",31M 55S,"I’m okay with masks. I’m not fighting masks."
"258","moderator",31M 57S,"I want to ask you both about one last subject because your different approaches has even affected the way that you have campaigned. President Trump, you’re holding large rallies with crowds packed together, thousands of people."
"259","DT",31M 68S,"Outside."
"260","moderator",31M 69S,"Outside. Yes, sir. Agreed. Vice President Biden, you are holding much smaller events with-"
"261","DT",31M 76S,"Because nobody will show up."
"262","moderator",31M 77S,"… people with masks."
"263","DT",31M 77S,"Well, it’s true. Nobody shows up to his rallies."
"264","moderator",31M 80S,"All right. In any case, why you holding the big rallies? Why you not? You go first, sir."
"265","DT",31M 86S,"Because people want to hear what I have to say. I mean-"
"266","moderator",31M 89S,"But are not worried about us spreading disease?"
"267","DT",32M 31S,"… I’m doing my job as a president, and I’ll have 25, 35,000 people show up at airports. We use airports and hangers and we have a lot of people-"
"268","moderator",32M 36S,"Are you not worried about the disease issues, sir?"
"269","DT",32M 38S,"Well, so far we have had no problem whatsoever. It’s outside. That’s a big difference according to the experts. We do them outside, we have tremendous crowds, as you see, and literally on 24 hours notice. And Joe does the circles and has three people someplace."
"270","JB",32M 56S,"By the way, did you see one of the last big rallies he had? A reporter came up to him to ask him a question, he said, “No, no, no. Stand back, put on your mask, put on a mask. Have you been tested? I’m way far away from those other people.” That’s what he said, “I’m going to be okay.” He’s not worried about you. He’s not worried about the people out there [crosstalk 00:08:48]."
"271","DT",32M 78S,"We’ve had no negative effect."
"272","JB",32M 79S,"No negative effect. Come on."
"273","DT",32M 81S,"We’ve had no negative effect, and we’ve had 35, 40,000 people at these rallies."
"274","moderator",32M 85S,"All right. Do you want to just quickly finish up? Because I want to move on to our next-"
"275","JB",32M 87S,"Yes, I would. He’s been totally irresponsible the way in which he has handled the social distancing and people wearing masks, basically encouraged them not to. He’s a fool on this."
"276","DT",33M 38S,"If you could get the crowds, you would have done the same thing. But you can’t. Nobody cares."
"277","moderator",33M 42S,"Gentlemen, can we move on to the-"
"278","DT",33M 43S,"No cares."
"279","moderator",33M 43S,"Gentlemen, can we move on to the economy?"
"280","DT",33M 45S,"Yes."
"281","moderator",33M 45S,"The economy is, I think it’s fair to say, recovering faster than expected from the shutdown-"
"282","DT",33M 52S,"Much faster."
"283","moderator",33M 52S,"… in the second quarter. The unemployment rate fell to 8.4% last month. The Federal Reserve says the hit to growth, which is going to be there, is not going to be nearly as big as they had expected. President Trump, you say we are in a V-shaped recovery. Vice President Biden, you say it’s more of a K-shape. What difference does that mean to the American people in terms of the economy? President Trump, in this segment you go first."
"284","DT",33M 82S,"So we built the greatest economy in history. We closed it down because of the China plague. When the plague came in, we closed it down, which was very hard psychologically to do. He didn’t think we should close it down and he was wrong. Again, two million people would be dead now instead of… Still, 204,000 people is too much. One person is too much. Should have never happened from China. But what happened is we closed it down and now we’re reopening and we’re doing record business. We had 10.4 million people in a four month period that we’ve put back into the workforce. That’s a record the likes of which nobody’s ever seen before. And he wants to close down the… He will shut it down again. He will destroy this country."
"285","DT",34M 61S,"A lot of people, between drugs and alcohol and depression, when you start shutting it down, you take a look at what’s happening at some of your Democrat-run states where they have these tough shutdowns. And I’m telling you it’s because they don’t want to open it. One of them came out last week, you saw that, “Oh, we’re going to open up on November 9th.” Why November 9th? Because it’s after the election. They think they’re hurting us by keeping them closed. They’re hurting people. People know what to do. They can social distance. They can wash their hands, they can wear masks. They can do whatever they want, but they got to open these states up."
"286","DT",35M 34S,"When you look at North Carolina, when you look, and these governors are under siege, Pennsylvania, Michigan, and a couple of others, you got to open these states up. It’s not fair. You’re talking about almost it’s like being in prison. And you look at what’s going on with divorce, look at what’s going on with alcoholism and drugs. It’s a very, very sad thing. And he’ll close down the whole country. This guy will close down the whole country and destroy our country. Our country is coming back incredibly well, setting records as it does it. We don’t need somebody to come in and say, “Let’s shut it down.”"
"287","moderator",35M 66S,"All right. Your two minutes, sir. We’re now moved to you. As I said, posing the question, the president says it’s a V-shape recovery, you say it’s a K-shaped recovery. What’s the difference?"
"288","JB",35M 78S,"The difference is millionaires and billionaires like him in the middle of the COVID crisis have done very well. Billionaires have made another $300 billion because of his profligate tax proposal, and he only focused on the market. But you folks at home, you folks living in Scranton and Claymont and all the small towns and working class towns in America, how well are you doing? This guy paid a total of $750 in taxes."
"289","DT",36M 47S,"That’s wrong."
"290","moderator",36M 48S,"Sir, wait. No. Sir-"
"291","DT",36M 48S,"[crosstalk 00:12:19]."
"292","moderator",36M 50S,"Yeah, I understand. You’ve agreed to the two minutes, so please let him have it."
"293","JB",36M 53S,"Do I get my time back? The fact is that he has in fact, worked on this in a way that he’s going to be the first president of the United States to leave office, having fewer jobs in his administration than when he became president. Fewer jobs than when he became president. First one in American history."
"294","JB",36M 70S,"Secondly, the people who have lost their jobs are those people who have been on the front lines. Those people who have been saving our lives, those people who have been out there dying. People who’ve been putting themselves in the way to make sure that we could all try to make it. And the idea that he is insisting that we go forward and open when you have almost half the states in America with a significant increase in COVID deaths and COVID cases in the United States of America, and he wants to open it up more. Why is he want to open it up? Why does he take care of the… You can’t fix the economy until you fix the COVID crisis. And he has no intention of doing anything about making it better for you all at home in terms of your health and your safety."
"295","JB",37M 55S,"Schools. Why aren’t schools open? Because it costs a lot of money to open them safely. They were going to give, his administration going to give the teachers and school students masks, and then they decided no, couldn’t do that because it’s not a national emergency. Not a national emergency. They’ve done nothing to help small businesses. Nothing. They’re closing. One in six is now gone. He ought to get on the job and take care of the needs of the American people so we can open safely."
"296","moderator",37M 84S,"All right. Your time is up, sir. We are going to get to-"
"297","DT",37M 86S,"I have to respond to that."
"298","moderator",37M 87S,"Well, you both had two minutes, sir."
"299","DT",37M 89S,"Excuse me, he made a statement."
"300","moderator",38M 31S,"And so did you."
"301","DT",38M 33S,"No, people want their schools open. They don’t want to be shut down. They don’t want their state shut down. They want their restaurants. I look at New York. It’s so sad what’s happening in New York. It’s almost like a ghost town, and I’m not sure it can ever recover what they’ve done to New York. People want their places open. They want to get back to their lives."
"302","JB",38M 49S,"People want to be safe."
"303","DT",38M 50S,"They’ll be careful, but they want their schools open."
"304","JB",38M 52S,"People want to be safe."
"305","DT",38M 53S,"I’m the one that brought back football. By the way, I brought back Big Ten football. It was me and I’m very happy to do it-"
"306","moderator",38M 60S,"All right. Let’s-"
"307","DT",38M 61S,"… and people of Ohio are very proud of me. And you know how I found out? When [crosstalk 00:14:35]."
"308","moderator",38M 66S,"Gentlemen, we’re going to get to your economic plans going forward in a moment, but first, Mr. President, as you well know, there’s a new report that in 2016, the year you were elected president, and 2017, your first year as president, that you paid $750 a year in federal income tax each of those years. I know that you pay a lot of other taxes, but I’m asking you this specific question. Is it true that you paid $750 in federal income taxes each of those two years?"
"309","DT",39M 38S,"I paid millions of dollars in taxes, millions of dollars of income tax. And let me just tell you, there was a story in one of the papers that paid-"
"310","JB",39M 46S,"Show us your tax returns."
"311","DT",39M 47S,"I paid $38 million one year, I paid $27 million one year."
"312","JB",39M 54S,"Show us your tax returns."
"313","DT",39M 54S,"You’ll see it as soon as it’s finished, you’ll see it. You know, if you wanted to, go to the Board of Elections. There’s 118 page or so report that says everything I have, every bank I have, I’m totally under leveraged because the assets are extremely good, and I built a great company."
"314","moderator",39M 72S,"Sir, I’m asking you a specific question, which is-"
"315","DT",39M 73S,"But let me tell you-"
"316","moderator",39M 73S,"I understand all of that."
"317","JB",39M 74S,"Release your tax return."
"318","moderator",39M 75S,"I understand all of that-"
"319","DT",39M 75S,"Let me-"
"320","moderator",39M 77S,"No, Mr. President, I’m asking you a question. Will you tell us how much you paid in federal income taxes in 2016 and 2017?"
"321","DT",39M 86S,"Millions of dollars."
"322","moderator",39M 88S,"You paid millions of dollars in-"
"323","DT",39M 89S,"Millions of dollars, yes."
"324","moderator",39M 89S,"So not 750?"
"325","DT",40M 30S,"Millions of dollars. And you’ll get to see it. And you’ll get to see it."
"326","JB",40M 33S,"When? Inshallah?"
"327","DT",40M 34S,"But let me just tell you-"
"328","JB",40M 35S,"In [crosstalk 00:16:04]?"
"329","DT",40M 35S,"Chris, let me just say something, that it was the tax laws. I don’t want to pay tax. Before I came here, I was a private developer, I was a private business people. Like every other private person, unless they’re stupid, they go through the laws, and that’s what it is. He passed a tax bill that gave us all these privileges for depreciation and for tax credits. We build the building and we get tax credits, like the hotel on Pennsylvania Avenue. Which by the way, was given to me by the Obama administration, if you can believe that. Now the man got fired right after that happened, but that’s-"
"330","moderator",40M 70S,"Vice President Biden, you want to respond?"
"331","JB",40M 72S,"Yeah, I do want to respond. Look, the tax code that put him in a position that he pays less tax than on the money a school teacher makes is because of him… He says he’s smart because he can take advantage of the tax code. And he does take advantage of the tax code. That’s why I’m going to eliminate the Trump tax cuts. And I’m going to eliminate those tax cuts."
"332","DT",41M 36S,"That’s okay."
"333","JB",41M 37S,"And make sure that we invest in the people who in fact need the help. People out there need help."
"334","DT",41M 43S,"But why didn’t you do it over the last 25 years?"
"335","JB",41M 46S,"Because you weren’t president-"
"336","DT",41M 48S,"Why didn’t you do it over the last 25 years?"
"337","JB",41M 49S,"Because you weren’t president and screwing things up."
"338","DT",41M 50S,"You were a Senator and [crosstalk 00:17:21]-"
"339","JB",41M 51S,"You’re the worst president America has ever had. Come on."
"340","DT",41M 54S,"Hey, Joe, let me just tell you, Joe. In 47 months, I’ve done more than you’ve done in 47 years, Joe. We’ve done things that you never even thought of doing."
"341","moderator",41M 63S,"Okay. Gentlemen?"
"342","DT",41M 63S,"Including fixing the broken military that you gave me, including taking care of your debts."
"343","moderator",41M 68S,"Mr. President, we’re talking about the economy. I’d like to ask you about your plans going forward because Mr. Vice President, your economic plan-"
"344","DT",41M 76S,"He has none."
"345","moderator",41M 77S,"… if you were to be elected president focuses a lot on big government, big taxes, big spending. I want to focus first on the taxes. You propose more than $4 trillion over a decade in new taxes on individuals making more than $400,000 a year."
"346","moderator",42M 33S,"… on individuals making more than $400,000 a year and on corporations. President Trump says that that kind of an increase in taxes is going to hurt the economy as it’s just coming out of a recession."
"347","JB",42M 43S,"Well, just take a look at what is the analysis done by Wall Street firms, points out that my economic plan would create 7 million more jobs than his in four years, number one. And number two, it would create an additional $1 trillion in economic growth, because it would be about buying American. The federal government spends $600 billion a year on everything from ships, to steel, to buildings and the like. And under my proposal, we’re going to make sure that every penny of that has to be made by a company-"
"348","moderator",42M 80S,"But respectfully, sir, I’m talking about taxes, not spending."
"349","JB",42M 83S,"By the way, I’m going to eliminate a significant number of the taxes. I’m going to make the corporate tax 28%. It shouldn’t be 21%. You have 91 companies federal, I mean, the fortune 500, who don’t pay a single penny in tax making billions of dollars."
"350","DT",43M 39S,"Why didn’t you do it before, when you were vice president with Obama?"
"351","JB",43M 42S,"Because you in fact passed that, that was your tax proposal."
"352","DT",43M 46S,"I got it done. And you know what happened?"
"353","JB",43M 47S,"Yeah, you got it done-"
"354","DT",43M 48S,"Our economy boomed like it’s never boomed before."
"355","JB",43M 50S,"The economy-"
"356","moderator",43M 50S,"Mr. President-"
"357","JB",43M 52S,"Let me finish."
"358","moderator",43M 53S,"Mr. President, let me pick up on that. You would continue your free market approach, lower taxes, more deregulation, correct?"
"359","JB",43M 61S,"Not lower tax for the American people."
"360","moderator",43M 64S,"But let me-"
"361","DT",43M 64S,"Excuse me."
"362","moderator",43M 64S,"You talk about the economy booming. It turns out that in Obama’s final three years as president more jobs were created, a million and a half more jobs, than in the first three years of your presidency."
"363","DT",43M 77S,"They had the slowest economic recovery since 1929. It was the slowest recovery. Also, they took over something that was down here. All you had to do is turn on the lights and you pick up a lot. But they had the slowest economic recovery since 1929, and let me tell you about the stock market. When the stock market goes up, that means jobs. It also means 401ks. If you got in, if you ever became president with your ideas, you want to terminate my taxes. I’ll tell you what, you’ll lose. Half of the companies that have poured in here will leave. And plenty of companies that are already here, they’ll leave for other places. [crosstalk 00:20:25] They will leave and you will have a depression, the likes of which you’ve never seen."
"364","JB",44M 59S,"Look-"
"365","moderator",44M 59S,"Mr. Vice President."
"366","JB",44M 60S,"… we inherited the worst recession, short of a depression in American history. I was asked to bring it back. We were able to have an economic recovery that created the jobs you’re talking about. We handed him a booming economy, he blew it."
"367","DT",44M 74S,"It wasn’t blooming."
"368","JB",44M 75S,"He blew it."
"369","DT",44M 76S,"He was in booming. It was the weakest recovery since 1929."
"370","moderator",44M 80S,"Wait, wait, is it fair to say he blew it when, in fact-"
"371","DT",44M 83S,"When COVID came along."
"372","moderator",44M 84S,"… when there was record low unemployment before COVID."
"373","JB",44M 87S,"Yeah, because what he did, even before COVID, manufacturing went in the hole. Manufacturing went in a hole-"
"374","DT",45M 34S,"Excuse me, Chris, wait."
"375","JB",45M 35S,"… number one. Number two-"
"376","DT",45M 36S,"Chris."
"377","JB",45M 36S,"Number three."
"378","DT",45M 37S,"They said it would take… No, you’re on number two."
"379","JB",45M 39S,"No."
"380","DT",45M 40S,"Chris, Chris. They said it would take-"
"381","JB",45M 42S,"This guy-"
"382","DT",45M 42S,"… a miracle to bring back manufacturing. I brought back 700,000 jobs. They brought back nothing. They gave up on manufacturing."
"383","JB",45M 50S,"We did not. [crosstalk 00:21:21]"
"384","DT",45M 51S,"… standard fare."
"385","JB",45M 52S,"I’m the guy that brought back the automobile industry."
"386","DT",45M 55S,"He totally gave up on manufacturing."
"387","moderator",45M 55S,"All right, let him-"
"388","JB",45M 55S,"I was asked to bring back Chrysler and General Motors. He brought them back right here in the state of Ohio and Michigan. He blew it. They’re gone. He blew it. And in fact, they’re gone-"
"389","DT",45M 64S,"Ohio had the best year it’s ever had last year. Michigan had the best year they’ve ever had."
"390","JB",45M 70S,"That is not true."
"391","DT",45M 71S,"Many car companies came in from Germany, from Japan, went to Michigan, went to Ohio and they didn’t come in with you. [crosstalk 00:21:47]."
"392","moderator",45M 77S,"Mr. Vice President, go ahead."
"393","JB",45M 78S,"And so you take a look at what he’s actually done. He’s done very little. His trade deals are the same way. He talks about these great trade deals. He talks about the art of the deal. China’s perfected the art of the steel. We have a higher deficit with China now than we did before. We have the highest trade deficit-"
"394","DT",46M 36S,"China ate your lunch- [crosstalk 00:00:22:07]."
"395","JB",46M 38S,"… with Mexico."
"396","DT",46M 39S,"China ate your lunch, Joe. And no wonder your son goes in and he takes out billions of dollars. He takes out billions of dollars to manage. He makes millions of dollars. And also, while we’re at it, why is it just out of curiosity, the mayor of Moscow’s wife gave you a son three and a half million dollars?"
"397","JB",46M 58S,"That is not true."
"398","DT",46M 58S,"What did he do to deserve it? What did he do with-"
"399","JB",46M 61S,"None of that is true."
"400","DT",46M 61S,"… to deserve $183,000?"
"401","moderator",46M 61S,"Sir, you’ve asked him a question, let him answer it."
"402","JB",46M 67S,"None of that is true."
"403","DT",46M 68S,"Oh really, he didn’t get three and a half million?"
"404","moderator",46M 69S,"Mr. President-"
"405","JB",46M 70S,"Is totally-"
"406","moderator",46M 71S,"Mr. President, please. You’ve asked a question- [crosstalk 00:22:41]"
"407","JB",46M 71S,"Totally discredited. Totally discredited. And by the way-"
"408","DT",46M 75S,"Well wait, he didn’t get three and a half million dollars, Joe?"
"409","JB",46M 78S,"Mr. Vice-"
"410","DT",46M 78S,"He got three and a half million-"
"411","moderator",46M 79S,"Mr. President."
"412","DT",46M 79S,"… dollars."
"413","JB",46M 80S,"That is not true."
"414","DT",46M 81S,"Oh, really?"
"415","moderator",46M 81S,"Mr. President, it’s an open discussion. Please- [crosstalk 00:22:56]"
"416","DT",46M 86S,"It’s a fact."
"417","JB",46M 87S,"It is not a fact."
"418","moderator",46M 87S,"Well, you have raised an issue, let the Vice President answer."
"419","JB",47M 30S,"It’s been totally discredited."
"420","DT",47M 31S,"Did Burisma pay him 183,000 a month, with no experience in energy?"
"421","moderator",47M 36S,"Mr. President-"
"422","JB",47M 37S,"My son did nothing wrong at Barisma-"
"423","DT",47M 40S,"I think he did."
"424","moderator",47M 40S,"Mr. President, let him answer. [crosstalk 00:23:13]."
"425","JB",47M 41S,"He doesn’t want to let me answer, because he knows I have the truth. His position has been totally thoroughly discredited-"
"426","DT",47M 50S,"By who?"
"427","JB",47M 50S,"And you can-"
"428","DT",47M 50S,"The media."
"429","JB",47M 50S,"by everybody. Well, by the media, by our allies."
"430","DT",47M 53S,"By the media, because they refuse to talk about it-"
"431","JB",47M 53S,"By the World Bank-"
"432","DT",47M 54S,"… because they’re embarrassed."
"433","JB",47M 57S,"By everyone, has discredited. And matter of fact [crosstalk 00:23:30] Matter of fact-"
"434","moderator",47M 60S,"Mr. President, please stop."
"435","JB",47M 61S,"Even the people who testified under oath-"
"436","DT",47M 63S,"So let me ask you this, Joe- [crosstalk 00:23:35]."
"437","moderator",47M 66S,"Go ahead, I’m listening to you."
"438","JB",47M 67S,"Even the people under-"
"439","DT",47M 68S,"He got three and a half million dollars from Moscow."
"440","JB",47M 70S,"… testified under oath in his administration said I did my job and I did it very well."
"441","DT",47M 77S,"Oh, really?"
"442","JB",47M 77S,"I did it honorably."
"443","DT",47M 77S,"I’d like to know who they are."
"444","JB",47M 78S,"Well, I’ll give you the list of the people who-"
"445","DT",47M 80S,"I’ll fire them."
"446","moderator",47M 80S,"No, no. Go ahead, sir."
"447","JB",47M 81S,"I’m sure that you’ve already fired most of them, because they did a good job."
"448","DT",47M 84S,"Some people don’t do a good job."
"449","JB",47M 85S,"Well, here’s the- [crosstalk 00:23:57]"
"450","moderator",47M 87S,"Go ahead. You get the- [crosstalk 00:23:57] Wait a minute. You get the final word, Mr.-"
"451","JB",47M 89S,"Well, it’s hard to get any word in with this clown. Excuse me, this person."
"452","DT",48M 32S,"Hey, let me just tell you, Joe-"
"453","JB",48M 33S,"No, no. Mr. President- [crosstalk 00:24:05]"
"454","DT",48M 34S,"Three and a half million, Joe."
"455","JB",48M 36S,"That is simply not true."
"456","DT",48M 37S,"Why did he deserve three and a half million from Moscow?"
"457","JB",48M 39S,"Look, here’s the deal. We want to talk about families and ethics. I don’t want to do that. I mean, his family, we could talk about all night. His family’s already-"
"458","DT",48M 49S,"My family-"
"459","moderator",48M 50S,"No, no- [crosstalk 00:06:20]."
"460","DT",48M 50S,"My family lost a fortune by coming down and helping us with governance."
"461","JB",48M 54S,"And that’s such a- [crosstalk 00:24:25]"
"462","moderator",48M 55S,"Mr. President-"
"463","DT",48M 56S,"Every single one of them lost a fortune-"
"464","JB",48M 57S,"This is not about my family or his family. It’s about your family, the American people. [crosstalk 00:24:32] That’s not true. It doesn’t want to talk about what you need. You, the American people, it’s about you. That’s what we’re talking about here. [crosstalk 00:24:42]"
"465","moderator",48M 73S,"That’s the end of the segment. We’re moving on."
"466","JB",48M 76S,"He didn’t take that."
"467","moderator",48M 77S,"Vice President-"
"468","DT",48M 77S,"Chris, can I be honest? It’s a very important question-"
"469","JB",48M 79S,"Try to be honest."
"470","moderator",48M 80S,"No."
"471","DT",48M 80S,"He stood up-"
"472","moderator",48M 82S,"The answer to the question is no."
"473","DT",48M 83S,"… and the threatened Ukraine-"
"474","moderator",48M 85S,"Sir-"
"475","DT",48M 85S,"… with a billion dollars-"
"476","JB",48M 87S,"That is absolutely not true."
"477","moderator",49M 31S,"Stop. [crosstalk 00:25:02] Gentlemen, I hate to raise my voice, but I- [crosstalk 00:25:05] Why should I be different than the two of you? So here’s the deal."
"478","JB",49M 39S,"That’s a good point."
"479","moderator",49M 39S,"We have six segments. We have ended that segment. We’re going to go to the next segment. In that segment, you each are going to have two uninterrupted moments. In those two interrupted minutes, Mr. President, you can say anything you want. I’m going to ask a question about race, but if you want to answer about something else, go ahead. But I think that the country would be better served, if we allowed both people to speak with fewer interruptions. I’m appealing to you, sir, to do that."
"480","DT",49M 67S,"Well, and him too."
"481","moderator",49M 68S,"Well, frankly, you’ve been doing more interrupting than he has."
"482","DT",49M 70S,"Well, that’s all right, but he does plenty."
"483","moderator",49M 71S,"Well, sir, less than-"
"484","DT",49M 73S,"He does plenty."
"485","moderator",49M 73S,"No, less than you have. Let’s please continue on. The issue of rice. Vice-President Biden, you say that President Trump’s response to the violence in Charlottesville three years ago, when he talked about very fine people on both sides, was what directly led you to launch this run for president."
"486","DT",50M 35S,"Oh yeah, sure."
"487","moderator",50M 36S,"President Trump, you have often said that you believe you will have done more for Black Americans than any president with the possible exception of Abraham Lincoln."
"488","DT",50M 46S,"That’s true."
"489","moderator",50M 46S,"My question for the two of you, is why should voters trust you rather than your opponent to deal with the race issues facing this country over the next four years? Vice President Biden, you go first."
"490","JB",50M 59S,"It’s about equity and equality. It’s about decency. It’s about the constitution. And we have never walked away from trying to require equity for everyone, equality for the whole of America. But we’ve never accomplished it, but we’ve never walked away from it like he has done. It is true, the reason I got in the race is when those people… Close your eyes, remember what those people look like coming out of the fields, carrying torches, their veins bulging, just spewing anti-Semitic bile and accompanied by the Ku Klux Klan. A young woman got killed and they asked the president what he thought. He said, “There were very fine people on both sides.” No president’s ever said anything like that. [crosstalk 00:27:10]."
"491","moderator",51M 41S,"It is his-"
"492","JB",51M 42S,"Now-"
"493","moderator",51M 42S,"… minute sir."
"494","JB",51M 43S,"… second point I’d make to you, is that when Floyd was killed, when Mr. Floyd was killed, there was a peaceful protest in front of the White House. What did he do? He came out of his bunker, had the military use tear gas on them so he could walk across to a church and hold up a Bible. And then what happened after that? The Bishop of that very church said that it was a disgrace. The general who was with him said all he ever wants to do is divide people, not unite people at all. This is a president who has used everything as a dog whistle, to try to generate racists hatred, racist division."
"495","JB",51M 80S,"This is a man who, in fact, you talk about helping African-Americans, one in 1000 African Americans has been killed because of the coronavirus. And if he doesn’t do something quickly, by the end of the year, one in 500 will have been killed. One in 500 African Americans. This man is as a savior of African-Americans? This man cares at all? This man’s done virtually nothing. Look, the fact is that you have to look at what he talks about. You have to look at what he did. And what he did has been disastrous for the African-American community."
"496","DT",52M 57S,"So-"
"497","moderator",52M 58S,"President Trump, you have two minutes. Why should Americans trust you over your opponent to deal race issues?"
"498","DT",52M 64S,"You did a crime bill, 1994, where you call them super predators. African-Americans are super predators and they’ve never forgotten it. They’ve never forgotten it."
"499","JB",52M 73S,"I’ve never said-"
"500","moderator",52M 74S,"No, no, sir. It’s his two minutes."
"501","DT",52M 75S,"So you did that and they call you a super predator and I’m letting people out of jail now, that you have treated the African-American population community, you have treated the black community about as bad as anybody in this country. You did the 1990… And that’s why, if you look at the polls, I’m doing better than any Republican has done in a long time, because they saw what you did. You call them super predators, and you’ve called them worse than that. Because you look back at your testimony over the years, you’ve called them a lot worse than that. As far as the church is concerned and as far as the generals are concerned, we just got the support of 250 military leaders and generals, total support. Law enforcement, almost every law enforcement group in the United States. I have Florida. I have Texas. I have Ohio. I have every… Excuse me, Portland, the sheriff just came out today and he said, “I support President Trump.”"
"502","DT",53M 69S,"I don’t think you have any law enforcement. You can’t even say the word law enforcement. Because if you say those words, you’re going to lose all of your radical left supporters. And why aren’t you saying those words, Joe? Why don’t you say the words law enforcement? Because you know what? If called us in Portland, we would put out that fire in a half an hour. But they won’t do it, because they’re run by radical left Democrats. If you look at Chicago, if you look at any place you want to look, Seattle, they heard we were coming in the following day and they put up their hands and we got back Seattle. Minneapolis, we got it back, Joe, because we believe in law and order, but you don’t. The top 10 cities and just about the top 40 cities are run by Democrats, and in many cases radical left. And they’ve got you wrapped around their finger, Joe, to a point where you don’t want to say anything about law and order. And I’ll tell you what, the people of this country want and demand law and order and you’re afraid to even say it."
"503","moderator",54M 65S,"All right. I want to return to the question of race. Vice President Biden, after the grand jury in the Breonna Taylor case decided not to charge any of the police with homicide, you said it raises the question, “Whether justice could be equally applied in America.” Do you believe that there is a separate but unequal system of justice for Blacks in this country?"
"504","JB",54M 89S,"Yes, there is. There’s systemic injustice in this country, in education and work and in law enforcement and the way in which it’s enforced. But look, the vast majority of police officers are good, decent, honorable men and women. They risk their lives every day to take care of us, but there are some bad apples. And when they occur, when they find them, they have to be sorted out. They have to be held accountable. They have to be held accountable. And what I’m going to do as President of the United States is call together an entire group of people at the White House, everything from the civil rights groups, to the police officers, to the police chiefs, and we’re going to work this out."
"505","JB",55M 68S,"We’re going to work this out. So we changed the way in which we have more transparency, in when these things happen. These cops aren’t happy to see what happened to George Floyd. These cops aren’t happy to see what happened to Breonna Taylor. Most don’t like it, but we have to have a system where people are held accountable when… And by the way, violence in response is never appropriate, never appropriate. Peaceful protest is, violence is never appropriate."
"506","moderator",56M 34S,"All right, Mr.-"
"507","DT",56M 35S,"What is peaceful protest? When they run through the middle of the town-"
"508","moderator",56M 38S,"President Trump-"
"509","DT",56M 39S,"… and burn down your stores and kill people all over the place- [crosstalk 00:32:14]."
"510","JB",56M 41S,"That is not peaceful protest."
"511","DT",56M 43S,"No it’s not, but you say it is."
"512","moderator",56M 45S,"President Trump, I’d like to continue with the issue of race. I promise we’re going to get to the issue of law and order in a moment."
"513","DT",56M 51S,"Fine."
"514","moderator",56M 51S,"This month, your administration directed federal agencies to end racial sensitivity training that addresses white privilege or critical race theory. Why did you decide to do that, to end racial sensitivity training? And do you believe that there is systemic racism in this country, sir?"
"515","DT",56M 72S,"I ended it because it’s racist. I ended it because a lot of people were complaining that they were asked to do things that were absolutely insane. That it a radical revolution that was taking place in our military, in our schools, all over the place. And you know it, and so does everybody else. And he would know it- [crosstalk 00:33:02]"
"516","moderator",57M 32S,"What is radical about racial sensitivity training?"
"517","DT",57M 35S,"If you were a certain person, you had no status in life. It was sort of a reversal. And if you look at the people, we were paying people hundreds of thousands of dollars to teach very bad ideas and frankly, very sick ideas. And really, they were teaching people to hate our country And I’m not going to do that. I’m not going to allow that to happen. We have to go back to the core values of this country. They were teaching people that our country is a horrible place. It’s a racist place. And they were teaching people to hate our country. And I’m not going to allow that to happen."
"518","moderator",57M 68S,"Vice President Biden."
"519","JB",57M 69S,"Nobody’s doing that. He’s the racist."
"520","DT",57M 72S,"You just don’t know."
"521","JB",57M 73S,"Here’s the deal. I know a lot more about this- [crosstalk 00:15:43]."
"522","moderator",57M 75S,"Let him finish."
"523","JB",57M 77S,"The fact is that there is racial insensitivity. People have to be made aware of what other people feel like, what insults them, what is demeaning to them. It’s important people know. Many people don’t want to hurt other people’s feelings, but it makes a big difference. It makes a gigantic difference in the way a child is able to grow up and have a sense of self-esteem. It’s a little bit like how this guy and his friends look down on so many people. They look down their nose on people like Irish Catholics, like me, who grow up in Scranton. They look down on people who don’t have money. They look down on people who are of a different faith. They looked down on people who are a different color. In fact, we’re all Americans. The only way we’re going to bring this country together is bring everybody together. There’s nothing we cannot do, if we do it together. We can take this on and we can defeat racism in American."
"524","moderator",58M 71S,"Vice President… I mean, President Trump, sir."
"525","DT",58M 73S,"During the Obama-Biden administration, there was tremendous division. There was hatred. You look at Ferguson, you look at, or you go to very… Many places, look at Oakland. Look what happened in Oakland. Look what happened in Baltimore. Look what happened… Frankly, it was more violent than what I’m even seeing now."
"526","JB",59M 31S,"Oh my Lord."
"527","DT",59M 31S,"But the reason-"
"528","JB",59M 32S,"This is ridiculous."
"529","DT",59M 33S,"… is that the Democrats that run these cities-"
